area,prov,dist,sex,area_name,sexname,rowtotal,a_india,b_saarc,c_asean,d_midleast,e_othrasian,f_eucntry,g_othreuropn,h_northamericn,i_southamericn,j_african,k_pacific,l_other,m_notstd
50,4,40,1,"Kaski","Male",8893,7997,53,187,52,475,32,53,20,2,3,17,1,1
50,4,40,2,"Kaski","Female",6918,6243,64,193,43,278,29,37,16,1,1,12,1,0
50,4,41,0,"Lamjung","Total",1204,1151,7,15,7,17,2,4,0,0,0,1,0,0
50,4,41,1,"Lamjung","Male",639,613,2,4,5,11,1,3,0,0,0,0,0,0
50,4,41,2,"Lamjung","Female",565,538,5,11,2,6,1,1,0,0,0,1,0,0
50,4,42,0,"Tanahu","Total",5836,5648,18,59,29,52,5,16,3,1,0,2,1,2
50,4,42,1,"Tanahu","Male",3092,3004,10,21,16,24,2,10,3,0,0,1,0,1
50,4,42,2,"Tanahu","Female",2744,2644,8,38,13,28,3,6,0,1,0,1,1,1
50,4,43,0,"Nawalparasi (Bardaghat Susta East)","Total",10319,9606,22,391,36,212,12,20,4,2,6,7,1,0
50,4,43,1,"Nawalparasi (Bardaghat Susta East)","Male",5038,4637,6,201,18,147,7,9,3,0,6,3,1,0
50,4,43,2,"Nawalparasi (Bardaghat Susta East)","Female",5281,4969,16,190,18,65,5,11,1,2,0,4,0,0
50,4,44,0,"Syangja","Total",2707,2617,4,31,22,18,2,5,1,0,0,3,4,0
50,4,44,1,"Syangja","Male",1303,1233,1,24,17,14,2,4,1,0,0,3,4,0
50,4,44,2,"Syangja","Female",1404,1384,3,7,5,4,0,1,0,0,0,0,0,0
50,4,45,0,"Parbat","Total",1434,1393,5,13,4,12,1,1,0,0,1,2,0,2
50,4,45,1,"Parbat","Male",692,674,3,5,2,4,0,1,0,0,1,0,0,2
50,4,45,2,"Parbat","Female",742,719,2,8,2,8,1,0,0,0,0,2,0,0
50,4,46,0,"Baglung","Total",1989,1857,9,19,23,66,7,4,1,0,0,1,0,2
50,4,46,1,"Baglung","Male",1000,924,3,11,19,34,4,3,0,0,0,1,0,1
50,4,46,2,"Baglung","Female",989,933,6,8,4,32,3,1,1,0,0,0,0,1
50,5,47,0,"Rukum (East)","Total",318,280,0,14,23,0,1,0,0,0,0,0,0,0
50,5,47,1,"Rukum (East)","Male",229,199,0,9,20,0,1,0,0,0,0,0,0,0
50,5,47,2,"Rukum (East)","Female",89,81,0,5,3,0,0,0,0,0,0,0,0,0
50,5,48,0,"Rolpa","Total",451,433,6,11,0,1,0,0,0,0,0,0,0,0
50,5,48,1,"Rolpa","Male",204,194,1,8,0,1,0,0,0,0,0,0,0,0
50,5,48,2,"Rolpa","Female",247,239,5,3,0,0,0,0,0,0,0,0,0,0
50,5,49,0,"Pyuthan","Total",1309,1289,1,3,15,0,0,1,0,0,0,0,0,0
50,5,49,1,"Pyuthan","Male",617,599,0,2,15,0,0,1,0,0,0,0,0,0
50,5,49,2,"Pyuthan","Female",692,690,1,1,0,0,0,0,0,0,0,0,0,0
50,5,50,0,"Gulmi","Total",2696,2637,4,20,6,22,1,2,0,1,0,2,1,0
50,5,50,1,"Gulmi","Male",1228,1197,0,13,4,13,1,0,0,0,0,0,0,0
