area,prov,dist,sex,area_name,sexname,rowtotal,a_below10,b_10to14,c_15to17,d_18to20,e_21to24,f_25to29,g_30to34,h_35to39,i_40t44,j_45t49,k_50plus,l_notstd
50,4,43,0,"Nawalparasi (Bardaghat Susta East)","Both Sexes",220364,1064,12979,48474,70084,51422,28098,5654,1206,312,80,57,934
50,4,43,1,"Nawalparasi (Bardaghat Susta East)","Male",91770,112,1677,10019,25371,27894,20457,4607,923,245,64,49,352
50,4,43,2,"Nawalparasi (Bardaghat Susta East)","Female",128594,952,11302,38455,44713,23528,7641,1047,283,67,16,8,582
50,4,44,0,"Syangja","Both Sexes",153415,961,10304,29819,47490,37598,20754,4243,928,279,90,54,895
50,4,44,1,"Syangja","Male",61505,83,1233,4548,14333,20782,15684,3444,735,210,69,38,346
50,4,44,2,"Syangja","Female",91910,878,9071,25271,33157,16816,5070,799,193,69,21,16,549
50,4,45,0,"Parbat","Both Sexes",77753,589,5777,16061,24260,18519,9661,2030,446,128,45,25,212
50,4,45,1,"Parbat","Male",32095,35,741,2721,7832,10878,7630,1687,347,90,33,15,86
50,4,45,2,"Parbat","Female",45658,554,5036,13340,16428,7641,2031,343,99,38,12,10,126
50,4,46,0,"Baglung","Both Sexes",140294,531,7269,29647,47334,35097,15339,3249,891,291,81,43,522
50,4,46,1,"Baglung","Male",57770,73,1024,5553,16677,20114,10807,2375,637,213,58,35,204
50,4,46,2,"Baglung","Female",82524,458,6245,24094,30657,14983,4532,874,254,78,23,8,318
50,5,47,0,"Rukum (East)","Both Sexes",30127,8,1055,6925,11387,6542,2990,715,233,71,25,14,162
50,5,47,1,"Rukum (East)","Male",13522,3,277,1997,4950,3675,1869,462,150,54,16,11,58
50,5,47,2,"Rukum (East)","Female",16605,5,778,4928,6437,2867,1121,253,83,17,9,3,104
50,5,48,0,"Rolpa","Both Sexes",124046,67,4763,34709,51932,22385,7634,1576,475,174,42,32,257
50,5,48,1,"Rolpa","Male",52687,27,1297,10248,22248,12511,4780,1015,306,117,27,25,86
50,5,48,2,"Rolpa","Female",71359,40,3466,24461,29684,9874,2854,561,169,57,15,7,171
50,5,49,0,"Pyuthan","Both Sexes",121839,190,7023,32787,46369,23386,9313,1758,455,142,35,20,361
50,5,49,1,"Pyuthan","Male",47157,15,978,6418,17330,13764,6687,1355,338,95,30,17,130
50,5,49,2,"Pyuthan","Female",74682,175,6045,26369,29039,9622,2626,403,117,47,5,3,231
50,5,50,0,"Gulmi","Both Sexes",142341,1163,12138,33869,45342,30987,14623,2892,680,185,51,34,377
50,5,50,1,"Gulmi","Male",55890,110,1743,5460,14955,18874,11515,2355,532,134,35,26,151
50,5,50,2,"Gulmi","Female",86451,1053,10395,28409,30387,12113,3108,537,148,51,16,8,226
50,5,51,0,"Arghakhanchi","Both Sexes",102847,1244,10681,26586,31712,20363,9901,1702,337,108,30,21,162
50,5,51,1,"Arghakhanchi","Male",40321,95,1359,4512,11025,13310,8091,1458,275,87,25,15,69
50,5,51,2,"Arghakhanchi","Female",62526,1149,9322,22074,20687,7053,1810,244,62,21,5,6,93
50,5,52,0,"Palpa","Both Sexes",143924,472,9298,34481,48091,31519,15640,3103,628,176,42,20,454
50,5,52,1,"Palpa","Male",58280,38,1365,6889,17330,17857,11520,2432,497,121,33,16,182
50,5,52,2,"Palpa","Female",85644,434,7933,27592,30761,13662,4120,671,131,55,9,4,272
50,5,53,0,"Nawalparasi (Bardaghat Susta West)","Both Sexes",216361,1043,17497,51493,75824,42954,22243,3856,703,177,63,29,479
50,5,53,1,"Nawalparasi (Bardaghat Susta West)","Male",95833,192,3544,13643,32924,24831,16611,3125,559,141,47,23,193
50,5,53,2,"Nawalparasi (Bardaghat Susta West)","Female",120528,851,13953,37850,42900,18123,5632,731,144,36,16,6,286
50,5,54,0,"Rupandehi","Both Sexes",608382,3388,46759,132546,210316,128473,67852,13826,2684,658,174,92,1614
50,5,54,1,"Rupandehi","Male",270610,519,10336,33826,87314,73217,50361,11543,2130,523,135,78,628
50,5,54,2,"Rupandehi","Female",337772,2869,36423,98720,123002,55256,17491,2283,554,135,39,14,986
50,5,55,0,"Kapilbastu","Both Sexes",344862,1614,30869,85728,140080,57889,23340,3754,674,205,61,25,623
50,5,55,1,"Kapilbastu","Male",155627,308,8051,25361,64907,35288,17634,3022,553,154,48,17,284
50,5,55,2,"Kapilbastu","Female",189235,1306,22818,60367,75173,22601,5706,732,121,51,13,8,339
50,5,56,0,"Dang","Both Sexes",382747,464,22876,98501,138483,77573,34786,6258,1413,388,81,58,1866
50,5,56,1,"Dang","Male",165420,63,4195,25264,58263,45662,24759,4998,1096,293,67,49,711
50,5,56,2,"Dang","Female",217327,401,18681,73237,80220,31911,10027,1260,317,95,14,9,1155
50,5,57,0,"Banke","Both Sexes",319998,944,24682,78218,118860,59435,28940,6012,1318,363,98,65,1063
50,5,57,1,"Banke","Male",143495,192,4986,20864,53877,36020,20831,4857,1077,277,75,45,394
50,5,57,2,"Banke","Female",176503,752,19696,57354,64983,23415,8109,1155,241,86,23,20,669
50,5,58,0,"Bardiya","Both Sexes",269878,519,19226,68798,97959,53538,23984,4043,747,200,49,15,800
50,5,58,1,"Bardiya","Male",117220,98,4052,19288,42327,30878,16422,3057,596,157,36,11,298
50,5,58,2,"Bardiya","Female",152658,421,15174,49510,55632,22660,7562,986,151,43,13,4,502
50,6,59,0,"Dolpa","Both Sexes",21169,3,515,3597,8983,5070,2320,421,93,29,5,3,130
50,6,59,1,"Dolpa","Male",10343,1,143,1154,4275,2900,1448,267,63,26,2,1,63
50,6,59,2,"Dolpa","Female",10826,2,372,2443,4708,2170,872,154,30,3,3,2,67
50,6,60,0,"Mugu","Both Sexes",32401,9,1127,7062,15235,6145,2191,380,81,20,4,1,146
50,6,60,1,"Mugu","Male",15591,2,269,2045,7482,3813,1544,290,67,15,3,1,60
50,6,60,2,"Mugu","Female",16810,7,858,5017,7753,2332,647,90,14,5,1,0,86
50,6,61,0,"Humla","Both Sexes",28072,6,1054,4556,11348,6897,3144,702,164,52,15,8,126
50,6,61,1,"Humla","Male",13571,3,242,1202,5047,4171,2174,515,112,40,10,6,49
50,6,61,2,"Humla","Female",14501,3,812,3354,6301,2726,970,187,52,12,5,2,77
50,6,62,0,"Jumla","Both Sexes",62409,110,4389,15609,25846,10865,4228,634,158,49,18,13,490
50,6,62,1,"Jumla","Male",29726,22,1041,4635,13150,7075,2955,497,117,31,15,10,178
50,6,62,2,"Jumla","Female",32683,88,3348,10974,12696,3790,1273,137,41,18,3,3,312
50,6,63,0,"Kalikot","Both Sexes",69802,212,4568,15107,29633,13796,5059,832,233,72,34,17,239
50,6,63,1,"Kalikot","Male",32759,39,1087,4288,14060,8622,3663,622,183,57,27,14,97
50,6,63,2,"Kalikot","Female",37043,173,3481,10819,15573,5174,1396,210,50,15,7,3,142
50,6,64,0,"Dailekh","Both Sexes",129384,289,10378,34145,52091,22285,7866,1297,298,106,23,16,590
50,6,64,1,"Dailekh","Male",56552,60,2329,9394,23880,13827,5502,1000,219,83,14,12,232
50,6,64,2,"Dailekh","Female",72832,229,8049,24751,28211,8458,2364,297,79,23,9,4,358
50,6,65,0,"Jajarkot","Both Sexes",92208,46,5121,25434,36510,17344,5851,1060,274,89,18,4,457
50,6,65,1,"Jajarkot","Male",43439,10,1036,7403,18237,11320,4134,813,210,75,12,3,186
50,6,65,2,"Jajarkot","Female",48769,36,4085,18031,18273,6024,1717,247,64,14,6,1,271
50,6,66,0,"Rukum (West)","Both Sexes",88484,28,5852,26838,33891,14832,5291,978,287,76,25,7,379
50,6,66,1,"Rukum (West)","Male",39781,9,1278,7901,16390,9343,3666,732,212,54,23,7,166
50,6,66,2,"Rukum (West)","Female",48703,19,4574,18937,17501,5489,1625,246,75,22,2,0,213
50,6,67,0,"Salyan","Both Sexes",131503,35,7695,41098,50800,22825,7116,1181,306,89,28,15,315
50,6,67,1,"Salyan","Male",58073,8,1465,11568,23898,14570,5183,922,232,63,22,11,131
50,6,67,2,"Salyan","Female",73430,27,6230,29530,26902,8255,1933,259,74,26,6,4,184
50,6,68,0,"Surkhet","Both Sexes",227362,435,15838,61862,82746,43461,17826,3351,749,178,42,20,854
50,6,68,1,"Surkhet","Male",98726,66,2852,15771,36913,26726,12754,2562,583,135,36,17,311
50,6,68,2,"Surkhet","Female",128636,369,12986,46091,45833,16735,5072,789,166,43,6,3,543
50,7,69,0,"Bajura","Both Sexes",69098,114,4516,15814,29366,13143,4863,806,211,73,14,10,168
50,7,69,1,"Bajura","Male",31310,24,1158,4642,13359,7803,3451,593,157,52,13,7,51
50,7,69,2,"Bajura","Female",37788,90,3358,11172,16007,5340,1412,213,54,21,1,3,117
50,7,70,0,"Bajhang","Both Sexes",94464,371,10135,26677,39000,12860,4245,709,172,61,9,11,214
50,7,70,1,"Bajhang","Male",40357,56,2385,8138,17988,7900,3102,532,126,46,4,8,72
50,7,70,2,"Bajhang","Female",54107,315,7750,18539,21012,4960,1143,177,46,15,5,3,142
50,7,71,0,"Darchula","Both Sexes",73517,305,6254,18050,29948,12334,5311,880,195,71,14,22,133
50,7,71,1,"Darchula","Male",32851,31,1150,4601,13750,8139,4186,704,159,56,11,19,45
50,7,71,2,"Darchula","Female",40666,274,5104,13449,16198,4195,1125,176,36,15,3,3,88
