area,prov,dist,sex,area_name,sexname,rowtotal,a_physical,b_lowvision,c_blind,d_deaf,e_hardhear,f_deafblind,g_speech,h_mental,i_intellect,j_hemophilia,k_autism,l_multiple,m_nodisabl,n_notstd
50,1,2,0,"Sankhuwasabha","Both Sexes",158041,1895,840,249,456,545,109,390,167,66,10,38,477,152777,22
50,1,2,1,"Sankhuwasabha","Male",79579,1070,402,130,246,296,60,223,82,30,3,10,251,76763,13
50,1,2,2,"Sankhuwasabha","Female",78462,825,438,119,210,249,49,167,85,36,7,28,226,76014,9
50,1,3,0,"Solukhumbu","Both Sexes",104851,1031,631,178,270,384,51,242,122,43,18,26,284,101561,10
50,1,3,1,"Solukhumbu","Male",52747,600,306,92,146,204,28,140,64,19,7,12,136,50987,6
50,1,3,2,"Solukhumbu","Female",52104,431,325,86,124,180,23,102,58,24,11,14,148,50574,4
50,1,4,0,"Okhaldhunga","Both Sexes",139552,1612,729,246,345,380,96,211,169,62,45,31,334,135290,2
50,1,4,1,"Okhaldhunga","Male",68080,938,342,130,182,203,47,121,77,32,21,10,195,65781,1
50,1,4,2,"Okhaldhunga","Female",71472,674,387,116,163,177,49,90,92,30,24,21,139,69509,1
50,1,5,0,"Khotang","Both Sexes",175298,1822,634,274,418,531,120,394,153,56,26,40,457,170368,5
50,1,5,1,"Khotang","Male",86637,1064,357,134,223,302,70,220,71,22,18,13,239,83900,4
50,1,5,2,"Khotang","Female",88661,758,277,140,195,229,50,174,82,34,8,27,218,86468,1
50,1,6,0,"Bhojpur","Both Sexes",157923,1917,789,236,483,732,137,437,203,96,23,20,417,152409,24
50,1,6,1,"Bhojpur","Male",78211,1090,422,128,246,397,74,263,104,51,12,8,228,75168,20
50,1,6,2,"Bhojpur","Female",79712,827,367,108,237,335,63,174,99,45,11,12,189,77241,4
50,1,7,0,"Dhankuta","Both Sexes",150599,1540,848,213,603,738,73,416,182,87,30,19,448,145391,11
50,1,7,1,"Dhankuta","Male",73824,903,402,119,351,414,39,243,91,36,14,8,240,70957,7
50,1,7,2,"Dhankuta","Female",76775,637,446,94,252,324,34,173,91,51,16,11,208,74434,4
50,1,8,0,"Terhathum","Both Sexes",88731,957,406,152,141,247,49,148,133,48,13,22,229,86178,8
50,1,8,1,"Terhathum","Male",43581,592,193,69,86,128,22,81,64,24,7,7,116,42188,4
