area,prov,dist,sex,area_name,sexname,rowtotal,a_physical,b_lowvision,c_blind,d_deaf,e_hardhear,f_deafblind,g_speech,h_mental,i_intellect,j_hemophilia,k_autism,l_multiple,m_nodisabl,n_notstd
50,6,68,2,"Surkhet","Female",215386,2239,1019,239,412,562,77,310,230,73,12,46,396,209687,84
50,7,69,0,"Bajura","Both Sexes",138523,2144,530,210,555,251,71,209,70,47,15,18,325,134054,24
50,7,69,1,"Bajura","Male",67070,1306,261,99,320,133,38,111,34,21,5,5,183,64542,12
50,7,69,2,"Bajura","Female",71453,838,269,111,235,118,33,98,36,26,10,13,142,69512,12
50,7,70,0,"Bajhang","Both Sexes",189085,1861,625,251,347,357,93,259,118,53,18,25,332,184738,8
50,7,70,1,"Bajhang","Male",88470,1050,306,128,164,175,46,159,63,21,12,9,176,86157,4
50,7,70,2,"Bajhang","Female",100615,811,319,123,183,182,47,100,55,32,6,16,156,98581,4
50,7,71,0,"Darchula","Both Sexes",133310,1357,328,195,181,156,49,163,84,27,9,7,229,130518,7
50,7,71,1,"Darchula","Male",64424,754,178,94,99,81,24,102,50,13,5,4,132,62884,4
50,7,71,2,"Darchula","Female",68886,603,150,101,82,75,25,61,34,14,4,3,97,67634,3
50,7,72,0,"Baitadi","Both Sexes",242157,2764,870,311,302,381,102,297,207,56,40,29,410,236373,15
50,7,72,1,"Baitadi","Male",113864,1603,416,151,163,200,48,181,123,29,28,14,240,110660,8
50,7,72,2,"Baitadi","Female",128293,1161,454,160,139,181,54,116,84,27,12,15,170,125713,7
50,7,73,0,"Dadeldhura","Both Sexes",139602,1712,608,228,336,386,62,209,147,66,28,20,362,135431,7
50,7,73,1,"Dadeldhura","Male",65893,931,265,119,172,201,35,134,83,32,13,10,211,63684,3
50,7,73,2,"Dadeldhura","Female",73709,781,343,109,164,185,27,75,64,34,15,10,151,71747,4
50,7,74,0,"Doti","Both Sexes",204831,1987,826,295,410,484,101,311,163,69,27,27,419,199686,26
50,7,74,1,"Doti","Male",93604,1092,379,134,208,223,46,163,76,42,7,7,211,91001,15
50,7,74,2,"Doti","Female",111227,895,447,161,202,261,55,148,87,27,20,20,208,108685,11
50,7,75,0,"Achham","Both Sexes",228852,3184,1219,352,498,418,129,398,198,73,37,29,471,221836,10
50,7,75,1,"Achham","Male",105319,1762,536,160,255,204,69,240,102,30,21,10,241,101685,4
50,7,75,2,"Achham","Female",123533,1422,683,192,243,214,60,158,96,43,16,19,230,120151,6
50,7,76,0,"Kailali","Both Sexes",904666,8601,4122,1138,1560,1947,276,1161,929,339,148,152,2092,882003,198
50,7,76,1,"Kailali","Male",433456,4954,1857,584,760,956,147,654,484,177,67,71,1102,421545,98
50,7,76,2,"Kailali","Female",471210,3647,2265,554,800,991,129,507,445,162,81,81,990,460458,100
50,7,77,0,"Kanchanpur","Both Sexes",513757,4835,3105,692,839,1139,183,728,562,223,79,45,1155,500136,36
50,7,77,1,"Kanchanpur","Male",240686,2867,1436,337,429,526,83,400,306,114,36,23,628,233481,20
50,7,77,2,"Kanchanpur","Female",273071,1968,1669,355,410,613,100,328,256,109,43,22,527,266655,16
