area,prov,dist,sex,area_name,sexname,rowtotal,a_govt,b_financl,c_nfinancl,d_nprofit,e_hhldsectr,f_notstd
50,1,10,1,"Ilam","Male",93722,4605,708,15483,288,72626,12
50,1,10,2,"Ilam","Female",86510,2135,447,13469,161,70285,13
50,1,11,0,"Jhapa","Both Sexes",580065,16399,8050,190926,1538,363012,140
50,1,11,1,"Jhapa","Male",296112,11222,4172,109753,1019,169854,92
50,1,11,2,"Jhapa","Female",283953,5177,3878,81173,519,193158,48
50,1,12,0,"Morang","Both Sexes",602925,21563,8418,217879,1853,353061,151
50,1,12,1,"Morang","Male",325383,15220,5250,127578,1306,175913,116
50,1,12,2,"Morang","Female",277542,6343,3168,90301,547,177148,35
50,1,13,0,"Sunsari","Both Sexes",434489,18755,6184,189255,1785,218362,148
50,1,13,1,"Sunsari","Male",239102,13171,3536,107181,1304,113810,100
50,1,13,2,"Sunsari","Female",195387,5584,2648,82074,481,104552,48
50,1,14,0,"Udayapur","Both Sexes",189990,7500,1330,41141,453,139540,26
50,1,14,1,"Udayapur","Male",94808,5157,733,22512,324,66060,22
50,1,14,2,"Udayapur","Female",95182,2343,597,18629,129,73480,4
50,2,15,0,"Saptari","Both Sexes",323743,12120,2501,95001,732,213328,61
50,2,15,1,"Saptari","Male",178222,9857,1838,52135,576,113770,46
50,2,15,2,"Saptari","Female",145521,2263,663,42866,156,99558,15
50,2,16,0,"Siraha","Both Sexes",325642,8203,2472,94194,737,219910,126
50,2,16,1,"Siraha","Male",171406,6356,1856,48890,557,113673,74
50,2,16,2,"Siraha","Female",154236,1847,616,45304,180,106237,52
50,2,17,0,"Dhanusa","Both Sexes",363905,11704,3485,124635,1103,222881,97
50,2,17,1,"Dhanusa","Male",202482,9284,2636,65521,883,124090,68
50,2,17,2,"Dhanusa","Female",161423,2420,849,59114,220,98791,29
50,2,18,0,"Mahottari","Both Sexes",264996,7303,2258,105771,712,148882,70
50,2,18,1,"Mahottari","Male",158551,5718,1736,52764,620,97654,59
50,2,18,2,"Mahottari","Female",106445,1585,522,53007,92,51228,11
50,2,19,0,"Sarlahi","Both Sexes",339564,10039,2696,128204,875,197662,88
50,2,19,1,"Sarlahi","Male",210548,8013,1996,65322,724,134429,64
50,2,19,2,"Sarlahi","Female",129016,2026,700,62882,151,63233,24
50,2,20,0,"Rautahat","Both Sexes",340796,8816,2281,118510,783,210333,73
50,2,20,1,"Rautahat","Male",203434,6971,1808,65271,640,128699,45
50,2,20,2,"Rautahat","Female",137362,1845,473,53239,143,81634,28
50,2,21,0,"Bara","Both Sexes",319827,9931,3124,134929,1162,170592,89
50,2,21,1,"Bara","Male",200361,8010,2404,79867,1042,108966,72
50,2,21,2,"Bara","Female",119466,1921,720,55062,120,61626,17
50,2,22,0,"Parsa","Both Sexes",271820,10546,3323,129914,1052,126865,120
50,2,22,1,"Parsa","Male",177878,8688,2671,81583,937,83905,94
50,2,22,2,"Parsa","Female",93942,1858,652,48331,115,42960,26
50,3,23,0,"Dolakha","Both Sexes",110854,5537,993,18360,257,85697,10
50,3,23,1,"Dolakha","Male",54142,3729,546,10964,201,38696,6
50,3,23,2,"Dolakha","Female",56712,1808,447,7396,56,47001,4
