area,prov,dist,area_name,nHhld,total,male,female,avg_hhsize,sex_ratio,growth_rate,pop_density
50,5,54,Rupandehi,238320,1121957,550478,571479,4.71,96.33,2.33,824.97
50,5,55,Kapilbastu,121946,682961,334687,348274,5.6,96.10,1.7,392.96
50,5,56,Dang,162316,674993,320573,354420,4.16,90.45,1.92,228.42
50,5,57,Banke,129307,603194,296745,306449,4.66,96.83,1.97,258.11
50,5,58,Bardiya,106326,459900,216766,243134,4.33,89.15,0.72,227.11
50,6,59,Dolpa,9398,42774,21371,21403,4.55,99.85,1.47,5.42
50,6,60,Mugu,12439,64549,32381,32168,5.19,100.66,1.49,18.26
50,6,61,Humla,11228,55394,27886,27508,4.93,101.37,0.82,9.80
50,6,62,Jumla,24438,118349,59228,59121,4.84,100.18,0.8,46.76
50,6,63,Kalikot,26779,145292,72245,73047,5.43,98.90,0.57,83.45
50,6,64,Dailekh,54610,252313,120774,131539,4.62,91.82,-0.35,167.98
50,6,65,Jajarkot,37466,189360,94063,95297,5.05,98.71,0.96,84.91
50,6,66,Rukum (West),37303,166740,81091,85649,4.47,94.68,0.68,137.49
50,6,67,Salyan,54701,238515,114982,123533,4.36,93.08,-0.16,163.14
50,6,68,Surkhet,97893,415126,199740,215386,4.24,92.74,1.62,169.37
50,7,69,Bajura,28065,138523,67070,71453,4.94,93.87,0.25,63.31
50,7,70,Bajhang,38048,189085,88470,100615,4.97,87.93,-0.3,55.26
50,7,71,Darchula,28417,133310,64424,68886,4.69,93.52,0,57.41
50,7,72,Baitadi,49428,242157,113864,128293,4.9,88.75,-0.34,159.42
50,7,73,Dadeldhura,31193,139602,65893,73709,4.48,89.40,-0.17,90.77
50,7,74,Doti,45182,204831,93604,111227,4.53,84.16,-0.32,101.15
50,7,75,Achham,49595,228852,105319,123533,4.61,85.26,-1.13,136.22
50,7,76,Kailali,195957,904666,433456,471210,4.62,91.99,1.48,279.65
50,7,77,Kanchanpur,111217,513757,240686,273071,4.62,88.14,1.25,319.10
