area,prov,dist,area_name,rowtotal,a_Own,b_Rented,c_Institutnl,d_Other,,,,
,,,,,,,,,,,,5499
,,,,,,,,,,,,6809
,,,,,,,,,,,,6991
,,,,,,,,,,,,7169
,,,,,,,,,,,,7436
,,,,,,,,,,,,7468
,,,,,,,,,,,,9027
,,,,,,,,,,,,9317
,,,,,,,,,,,,9418
,,,,,,,,,,,,11707
,,,,,,,,,,,,12218
,,,,,,,,,,,,12465
,,,,,,,,,,,,13509
,,,,,,,,,,,,15244
,,,,,,,,,,,,19393
,,,,,,,,,,,,20792
,,,,,,,,,,,,23004
,,,,,,,,,,,,24883
,,,,,,,,,,,,25381
,,,,,,,,,,,,26633
,,,,,,,,,,,,29546
,,,,,,,,,,,,32328
,,,,,,,,,,,,36707
,,,,,,,,,,,,40336
,,,,,,,,,,,,54279
,,,,,,,,,,,,55866
,,,,,,,,,,,,56334
,,,,,,,,,,,,94336
,,,,,,,,,,,,103586
,,,,,,,,,,,,116721
,,,,,,,,,,,,240170
,,,,,,,,,,,,301509
,,,,,,,,,,,,464512
,,,,,,,,,,,,589600
,,,,,,,,,,,,794696
,,,,,,,,,,,,850562
,,,,,,,,,,,,(blank)
,,,,,,,,,,,,Grand Total
