area,prov,dist,sex,area_name,sexname,rowtotal,a_student,b_hhldwork,c_hhldchore,d_aged,e_disable,f_pension,g_soclwork,h_other,i_notstd
50,1,6,0,"Bhojpur","Both Sexes",58701,24300,10717,4085,6802,1967,510,193,9983,144
50,1,6,1,"Bhojpur","Male",26258,12139,2094,2311,2899,985,378,135,5247,70
50,1,6,2,"Bhojpur","Female",32443,12161,8623,1774,3903,982,132,58,4736,74
50,1,7,0,"Dhankuta","Both Sexes",49918,22646,8184,2838,5642,1860,604,240,7768,136
50,1,7,1,"Dhankuta","Male",22004,11052,1718,1205,2387,920,417,193,4042,70
50,1,7,2,"Dhankuta","Female",27914,11594,6466,1633,3255,940,187,47,3726,66
50,1,8,0,"Terhathum","Both Sexes",29083,13253,5427,1689,3426,1020,378,73,3712,105
50,1,8,1,"Terhathum","Male",12767,6651,1209,684,1409,476,272,50,1973,43
50,1,8,2,"Terhathum","Female",16316,6602,4218,1005,2017,544,106,23,1739,62
50,1,9,0,"Panchthar","Both Sexes",67914,25614,14688,5709,6528,2176,479,222,12294,204
50,1,9,1,"Panchthar","Male",29601,12634,3520,2848,2920,1033,355,164,6039,88
50,1,9,2,"Panchthar","Female",38313,12980,11168,2861,3608,1143,124,58,6255,116
50,1,10,0,"Ilam","Both Sexes",102527,38233,18726,7114,11908,3883,942,233,21235,253
50,1,10,1,"Ilam","Male",43370,18796,3122,3186,5369,1799,650,161,10160,127
50,1,10,2,"Ilam","Female",59157,19437,15604,3928,6539,2084,292,72,11075,126
50,1,11,0,"Jhapa","Both Sexes",434686,152810,93876,31716,40524,15020,5613,1134,92291,1702
50,1,11,1,"Jhapa","Male",165541,76047,12122,8778,15570,6707,3658,759,41096,804
50,1,11,2,"Jhapa","Female",269145,76763,81754,22938,24954,8313,1955,375,51195,898
50,1,12,0,"Morang","Both Sexes",548115,176164,132947,41038,46147,13533,7824,1287,128012,1163
50,1,12,1,"Morang","Male",202776,89492,17124,10944,18173,6569,5106,935,53917,516
50,1,12,2,"Morang","Female",345339,86672,115823,30094,27974,6964,2718,352,74095,647
50,1,13,0,"Sunsari","Both Sexes",460564,138869,110646,37202,35358,9733,7195,1047,119487,1027
50,1,13,1,"Sunsari","Male",170437,70764,15292,9096,13669,4812,5059,742,50545,458
50,1,13,2,"Sunsari","Female",290127,68105,95354,28106,21689,4921,2136,305,68942,569
50,1,14,0,"Udayapur","Both Sexes",151820,54567,32187,12710,13248,3922,1469,343,33004,370
50,1,14,1,"Udayapur","Male",63104,26862,5797,6086,5293,1977,1039,255,15620,175
50,1,14,2,"Udayapur","Female",88716,27705,26390,6624,7955,1945,430,88,17384,195
50,2,15,0,"Saptari","Both Sexes",372784,112485,95269,40532,27154,4642,6799,677,84025,1201
50,2,15,1,"Saptari","Male",151088,61201,21670,13640,11342,2397,3546,501,36149,642
50,2,15,2,"Saptari","Female",221696,51284,73599,26892,15812,2245,3253,176,47876,559
50,2,16,0,"Siraha","Both Sexes",367886,118346,95166,31009,24414,4753,5100,647,86729,1722
50,2,16,1,"Siraha","Male",149425,65043,18851,11144,10221,2518,2562,525,37733,828
50,2,16,2,"Siraha","Female",218461,53303,76315,19865,14193,2235,2538,122,48996,894
50,2,17,0,"Dhanusa","Both Sexes",458792,140198,128645,36717,31020,5064,5600,854,109559,1135
50,2,17,1,"Dhanusa","Male",178618,77247,22597,12549,13385,2730,3100,695,45730,585
50,2,17,2,"Dhanusa","Female",280174,62951,106048,24168,17635,2334,2500,159,63829,550
50,2,18,0,"Mahottari","Both Sexes",398005,113992,109818,34792,23915,4535,4653,789,104228,1283
50,2,18,1,"Mahottari","Male",151701,61685,18806,11810,10422,2606,2526,668,42478,700
50,2,18,2,"Mahottari","Female",246304,52307,91012,22982,13493,1929,2127,121,61750,583
50,2,19,0,"Sarlahi","Both Sexes",474067,139332,127122,40091,28442,5131,5267,774,126790,1118
50,2,19,1,"Sarlahi","Male",182872,75160,24123,12604,12189,2892,2610,609,52068,617
50,2,19,2,"Sarlahi","Female",291195,64172,102999,27487,16253,2239,2657,165,74722,501
50,2,20,0,"Rautahat","Both Sexes",385808,116566,103846,33757,22252,4099,4039,609,99896,744
50,2,20,1,"Rautahat","Male",144418,63130,17994,9988,8950,2164,1989,449,39345,409
50,2,20,2,"Rautahat","Female",241390,53436,85852,23769,13302,1935,2050,160,60551,335
50,2,21,0,"Bara","Both Sexes",385934,116533,101129,35958,23410,3813,3808,559,100079,645
50,2,21,1,"Bara","Male",143675,61922,17979,9478,10008,2027,1952,408,39544,357
50,2,21,2,"Bara","Female",242259,54611,83150,26480,13402,1786,1856,151,60535,288
50,2,22,0,"Parsa","Both Sexes",337942,106442,82676,34097,19491,3366,3385,558,87421,506
50,2,22,1,"Parsa","Male",121586,57116,11692,6389,8279,1833,1858,428,33751,240
50,2,22,2,"Parsa","Female",216356,49326,70984,27708,11212,1533,1527,130,53670,266
50,3,23,0,"Dolakha","Both Sexes",67377,26545,12375,3775,8913,2155,1029,195,12284,106
50,3,23,1,"Dolakha","Male",29716,13016,3287,1767,3554,1017,720,122,6177,56
50,3,23,2,"Dolakha","Female",37661,13529,9088,2008,5359,1138,309,73,6107,50
50,3,24,0,"Sindhupalchok","Both Sexes",109373,37296,23247,7963,13124,3576,1155,310,22550,152
50,3,24,1,"Sindhupalchok","Male",48803,18019,6586,3878,5762,1859,759,230,11644,66
50,3,24,2,"Sindhupalchok","Female",60570,19277,16661,4085,7362,1717,396,80,10906,86
50,3,25,0,"Rasuwa","Both Sexes",21566,7164,5787,1459,2093,512,123,58,4335,35
50,3,25,1,"Rasuwa","Male",9855,3551,1848,661,936,304,90,50,2395,20
50,3,25,2,"Rasuwa","Female",11711,3613,3939,798,1157,208,33,8,1940,15
50,3,26,0,"Dhading","Both Sexes",133502,49714,27302,7367,15721,3075,1561,298,28092,372
50,3,26,1,"Dhading","Male",57974,24524,6075,3470,6727,1628,1085,201,14072,192
50,3,26,2,"Dhading","Female",75528,25190,21227,3897,8994,1447,476,97,14020,180
50,3,27,0,"Nuwakot","Both Sexes",110495,38384,23689,5516,14090,3085,1446,371,23528,386
50,3,27,1,"Nuwakot","Male",46755,18727,5085,1927,6166,1624,1017,269,11745,195
50,3,27,2,"Nuwakot","Female",63740,19657,18604,3589,7924,1461,429,102,11783,191
50,3,28,0,"Kathmandu","Both Sexes",1094510,382501,207372,85634,63577,16323,25390,6108,306220,1385
50,3,28,1,"Kathmandu","Male",436665,203769,15951,21203,24785,8224,20836,4414,136833,650
50,3,28,2,"Kathmandu","Female",657845,178732,191421,64431,38792,8099,4554,1694,169387,735
50,3,29,0,"Bhaktapur","Both Sexes",200700,70000,40215,12652,15829,3133,5641,583,51766,881
50,3,29,1,"Bhaktapur","Male",79464,37093,5238,2285,5852,1522,4453,368,22238,415
50,3,29,2,"Bhaktapur","Female",121236,32907,34977,10367,9977,1611,1188,215,29528,466
50,3,30,0,"Lalitpur","Both Sexes",269592,90414,49913,19128,23405,4078,7175,886,73407,1186
50,3,30,1,"Lalitpur","Male",107775,47418,7164,3337,8845,2031,5576,571,32230,603
50,3,30,2,"Lalitpur","Female",161817,42996,42749,15791,14560,2047,1599,315,41177,583
50,3,31,0,"Kavrepalanchok","Both Sexes",142210,52791,28876,7014,16568,4154,1868,361,30153,425
50,3,31,1,"Kavrepalanchok","Male",60531,26126,7285,2189,6630,2001,1332,277,14480,211
50,3,31,2,"Kavrepalanchok","Female",81679,26665,21591,4825,9938,2153,536,84,15673,214
50,3,32,0,"Ramechhap","Both Sexes",80726,25736,19790,6434,9840,2209,995,290,15185,247
50,3,32,1,"Ramechhap","Male",34789,12376,5411,3191,3985,1181,697,215,7611,122
50,3,32,2,"Ramechhap","Female",45937,13360,14379,3243,5855,1028,298,75,7574,125
50,3,33,0,"Sindhuli","Both Sexes",123584,51528,27254,7882,11424,3120,975,374,20653,374
50,3,33,1,"Sindhuli","Male",52936,25142,6264,3416,4645,1572,635,288,10794,180
50,3,33,2,"Sindhuli","Female",70648,26386,20990,4466,6779,1548,340,86,9859,194
50,3,34,0,"Makwanpur","Both Sexes",206788,65835,47655,15102,18104,4628,1951,617,52357,539
50,3,34,1,"Makwanpur","Male",86343,32092,10228,5964,7568,2504,1463,455,25768,301
50,3,34,2,"Makwanpur","Female",120445,33743,37427,9138,10536,2124,488,162,26589,238
50,3,35,0,"Chitawan","Both Sexes",339747,113352,74886,20031,31721,7487,6764,1201,83208,1097
50,3,35,1,"Chitawan","Male",134195,57899,10934,5738,12612,3774,5157,878,36681,522
50,3,35,2,"Chitawan","Female",205552,55453,63952,14293,19109,3713,1607,323,46527,575
50,4,36,0,"Gorkha","Both Sexes",112653,38725,22249,7258,14756,3031,3259,304,22411,660
50,4,36,1,"Gorkha","Male",47539,19269,4463,3122,5945,1504,2239,205,10426,366
50,4,36,2,"Gorkha","Female",65114,19456,17786,4136,8811,1527,1020,99,11985,294
50,4,37,0,"Manang","Both Sexes",1694,450,303,114,242,58,34,17,465,11
50,4,37,1,"Manang","Male",776,227,66,49,93,25,24,15,273,4
50,4,37,2,"Manang","Female",918,223,237,65,149,33,10,2,192,7
50,4,38,0,"Mustang","Both Sexes",4692,2138,533,283,521,124,51,54,917,71
50,4,38,1,"Mustang","Male",2317,1210,180,77,199,62,30,49,470,40
50,4,38,2,"Mustang","Female",2375,928,353,206,322,62,21,5,447,31
50,4,39,0,"Myagdi","Both Sexes",45565,16433,8800,3027,5469,1522,1134,148,8642,390
