area,prov,dist,sex,area_name,sexname,rowtotal,ca_earlychildhood,ca_primary,ca_lowrsecndry,ca_upprsecndry,ca_others,ca_notstd,neverattnd,cna_earlychildhood,cna_primary,cna_lowrsecndry,cna_upprsecndry,cna_others,cna_notstd,ans_earlychildhood,ans_primary,ans_lowrsecndry,ans_upprsecndry,ans_others,ans_notstd
50,1,14,1,"Udayapur","Male",56882,4152,20093,11570,4771,9,69,2070,36,4127,5911,4017,29,24,0,0,0,0,0,4
50,1,14,2,"Udayapur","Female",56127,3487,19087,11724,4874,18,73,2404,45,3454,5144,5720,47,48,0,0,0,0,0,2
50,2,15,0,"Saptari","Total",245857,17104,80842,41705,21562,152,142,35127,222,15418,15081,17901,451,116,0,1,0,0,0,33
50,2,15,1,"Saptari","Male",122191,9757,42397,21374,11730,61,76,13532,120,7257,7696,7963,168,42,0,1,0,0,0,17
50,2,15,2,"Saptari","Female",123666,7347,38445,20331,9832,91,66,21595,102,8161,7385,9938,283,74,0,0,0,0,0,16
50,2,16,0,"Siraha","Total",276755,23477,89190,44213,23615,254,690,46326,368,16273,15346,16262,395,209,2,26,1,3,2,103
50,2,16,1,"Siraha","Male",137809,13670,47518,22944,12846,81,409,18670,189,7721,6991,6487,118,89,1,16,1,3,0,55
50,2,16,2,"Siraha","Female",138946,9807,41672,21269,10769,173,281,27656,179,8552,8355,9775,277,120,1,10,0,0,2,48
50,2,17,0,"Dhanusa","Total",325386,27166,104469,51283,25750,299,278,56618,303,18445,20386,19778,289,209,0,2,0,0,5,106
50,2,17,1,"Dhanusa","Male",160434,15609,55299,26740,14482,156,150,22245,158,8670,8833,7839,111,82,0,2,0,0,3,55
50,2,17,2,"Dhanusa","Female",164952,11557,49170,24543,11268,143,128,34373,145,9775,11553,11939,178,127,0,0,0,0,2,51
50,2,18,0,"Mahottari","Total",278524,19748,85253,43653,21863,174,232,62207,311,16345,14877,13403,267,88,2,11,0,1,0,89
50,2,18,1,"Mahottari","Male",136929,11039,43745,22324,12170,82,119,25659,181,7943,7339,6159,75,38,0,5,0,1,0,50
50,2,18,2,"Mahottari","Female",141595,8709,41508,21329,9693,92,113,36548,130,8402,7538,7244,192,50,2,6,0,0,0,39
50,2,19,0,"Sarlahi","Total",337574,22122,102215,52515,24840,181,494,80328,364,21175,18226,14712,192,111,0,4,0,0,0,95
50,2,19,1,"Sarlahi","Male",169794,12544,53055,27231,13654,87,265,34110,207,11204,10287,6965,77,50,0,3,0,0,0,55
50,2,19,2,"Sarlahi","Female",167780,9578,49160,25284,11186,94,229,46218,157,9971,7939,7747,115,61,0,1,0,0,0,40
50,2,20,0,"Rautahat","Total",344481,20771,104030,46536,21571,1577,822,92158,376,24036,17568,12911,1825,267,0,4,0,0,0,29
50,2,20,1,"Rautahat","Male",171460,11196,53691,24352,12092,669,420,38784,221,12330,10157,6701,703,121,0,3,0,0,0,20
50,2,20,2,"Rautahat","Female",173021,9575,50339,22184,9479,908,402,53374,155,11706,7411,6210,1122,146,0,1,0,0,0,9
50,2,21,0,"Bara","Total",301391,20378,93991,47014,21945,109,686,54830,405,24310,21167,16137,225,177,0,0,0,1,0,16
50,2,21,1,"Bara","Male",153581,11077,48937,24191,11849,47,365,23275,240,13005,12248,8146,107,87,0,0,0,0,0,7
50,2,21,2,"Bara","Female",147810,9301,45054,22823,10096,62,321,31555,165,11305,8919,7991,118,90,0,0,0,1,0,9
50,2,22,0,"Parsa","Total",253220,18732,81787,41883,19605,156,363,35191,333,22292,19435,13059,210,85,0,5,1,2,0,81
50,2,22,1,"Parsa","Male",129585,10272,42566,21538,10789,76,205,14521,182,11420,11235,6610,85,37,0,3,0,1,0,45
50,2,22,2,"Parsa","Female",123635,8460,39221,20345,8816,80,158,20670,151,10872,8200,6449,125,48,0,2,1,1,0,36
50,3,23,0,"Dolakha","Total",47600,3070,16778,11117,5155,38,59,1232,23,2811,4027,3185,61,34,0,0,0,0,0,10
50,3,23,1,"Dolakha","Male",23999,1689,8447,5529,2530,16,31,581,11,1504,2140,1471,25,17,0,0,0,0,0,8
50,3,23,2,"Dolakha","Female",23601,1381,8331,5588,2625,22,28,651,12,1307,1887,1714,36,17,0,0,0,0,0,2
50,3,24,0,"Sindhupalchok","Total",74803,4578,25744,16307,7286,61,136,3210,44,5898,6601,4719,143,73,0,0,0,0,0,3
50,3,24,1,"Sindhupalchok","Male",37677,2409,13025,7947,3557,17,68,1490,20,3168,3637,2242,63,32,0,0,0,0,0,2
50,3,24,2,"Sindhupalchok","Female",37126,2169,12719,8360,3729,44,68,1720,24,2730,2964,2477,80,41,0,0,0,0,0,1
50,3,25,0,"Rasuwa","Total",13813,863,4929,2741,1273,9,14,569,4,945,1268,1101,87,7,0,0,0,0,0,3
50,3,25,1,"Rasuwa","Male",7048,446,2529,1305,653,7,9,248,2,512,720,570,41,3,0,0,0,0,0,3
50,3,25,2,"Rasuwa","Female",6765,417,2400,1436,620,2,5,321,2,433,548,531,46,4,0,0,0,0,0,0
50,3,26,0,"Dhading","Total",96095,6266,33774,21215,8888,28,154,3179,54,8172,8584,5509,188,67,0,1,1,0,1,14
50,3,26,1,"Dhading","Male",48868,3399,17334,10551,4407,10,95,1445,31,4603,4396,2460,94,34,0,0,1,0,1,7
50,3,26,2,"Dhading","Female",47227,2867,16440,10664,4481,18,59,1734,23,3569,4188,3049,94,33,0,1,0,0,0,7
50,3,27,0,"Nuwakot","Total",75013,4891,26748,15923,6701,53,78,2750,36,5473,6651,5522,103,69,0,0,0,0,1,14
50,3,27,1,"Nuwakot","Male",37815,2681,13433,7870,3230,19,48,1242,19,3016,3588,2584,46,31,0,0,0,0,1,7
50,3,27,2,"Nuwakot","Female",37198,2210,13315,8053,3471,34,30,1508,17,2457,3063,2938,57,38,0,0,0,0,0,7
50,3,28,0,"Kathmandu","Total",404864,44188,150572,97992,36966,3251,508,10937,465,17317,24280,17282,681,388,0,2,0,0,3,32
50,3,28,1,"Kathmandu","Male",220033,24660,81989,52150,20015,2437,314,5481,276,10079,13940,8084,368,214,0,2,0,0,3,21
50,3,28,2,"Kathmandu","Female",184831,19528,68583,45842,16951,814,194,5456,189,7238,10340,9198,313,174,0,0,0,0,0,11
50,3,29,0,"Bhaktapur","Total",86598,9517,33034,19904,8149,64,216,1934,48,3996,5328,4202,116,85,0,1,0,0,1,3
50,3,29,1,"Bhaktapur","Male",46964,5347,18022,10606,4405,31,115,946,25,2257,3086,2025,52,46,0,1,0,0,0,0
50,3,29,2,"Bhaktapur","Female",39634,4170,15012,9298,3744,33,101,988,23,1739,2242,2177,64,39,0,0,0,0,1,3
50,3,30,0,"Lalitpur","Total",112533,10583,41002,26486,11821,192,286,2959,73,5672,7269,5896,139,145,0,1,0,0,1,8
50,3,30,1,"Lalitpur","Male",59796,5792,21873,13788,6079,161,135,1463,38,3259,4206,2842,81,75,0,0,0,0,0,4
50,3,30,2,"Lalitpur","Female",52737,4791,19129,12698,5742,31,151,1496,35,2413,3063,3054,58,70,0,1,0,0,1,4
50,3,31,0,"Kavrepalanchok","Total",91080,6721,32210,20392,9061,30,204,2727,51,5593,7628,6283,99,76,0,0,0,0,1,4
50,3,31,1,"Kavrepalanchok","Male",46918,3763,16651,10160,4549,14,112,1277,33,3082,4265,2933,41,34,0,0,0,0,0,4
50,3,31,2,"Kavrepalanchok","Female",44162,2958,15559,10232,4512,16,92,1450,18,2511,3363,3350,58,42,0,0,0,0,1,0
50,3,32,0,"Ramechhap","Total",48924,2589,16280,11645,5287,61,66,1524,41,2930,4108,4252,93,42,0,0,0,0,1,5
50,3,32,1,"Ramechhap","Male",24381,1374,8187,5642,2603,44,38,699,19,1542,2250,1928,34,18,0,0,0,0,1,2
50,3,32,2,"Ramechhap","Female",24543,1215,8093,6003,2684,17,28,825,22,1388,1858,2324,59,24,0,0,0,0,0,3
50,3,33,0,"Sindhuli","Total",101081,5531,34505,21140,9379,31,146,5146,60,7808,9074,8003,146,70,0,0,0,0,0,42
50,3,33,1,"Sindhuli","Male",50827,2958,17536,10489,4548,14,72,2201,32,4084,5032,3751,56,31,0,0,0,0,0,23
50,3,33,2,"Sindhuli","Female",50254,2573,16969,10651,4831,17,74,2945,28,3724,4042,4252,90,39,0,0,0,0,0,19
50,3,34,0,"Makwanpur","Total",146072,8682,48433,27524,10506,59,289,6920,93,17121,17558,8586,165,130,0,0,0,0,0,6
50,3,34,1,"Makwanpur","Male",75499,4675,25000,13498,5074,31,146,3318,42,9905,9687,3973,81,67,0,0,0,0,0,2
50,3,34,2,"Makwanpur","Female",70573,4007,23433,14026,5432,28,143,3602,51,7216,7871,4613,84,63,0,0,0,0,0,4
50,3,35,0,"Chitawan","Total",182615,15805,64961,38540,15420,80,278,6400,145,13639,15965,11042,194,118,0,2,0,0,6,20
50,3,35,1,"Chitawan","Male",96549,8768,34896,20125,8035,37,140,3203,75,7740,8485,4873,98,61,0,1,0,0,4,8
50,3,35,2,"Chitawan","Female",86066,7037,30065,18415,7385,43,138,3197,70,5899,7480,6169,96,57,0,1,0,0,2,12
50,4,36,0,"Gorkha","Total",68065,3559,24760,16244,7436,124,374,1790,79,4316,5591,3287,132,104,4,39,8,7,1,210
50,4,36,1,"Gorkha","Male",33999,1928,12799,8106,3692,62,189,771,37,2290,2478,1398,67,55,3,15,6,5,1,97
50,4,36,2,"Gorkha","Female",34066,1631,11961,8138,3744,62,185,1019,42,2026,3113,1889,65,49,1,24,2,2,0,113
50,4,37,0,"Manang","Total",927,102,308,181,81,5,0,18,2,92,86,46,3,1,0,1,0,0,1,0
50,4,37,1,"Manang","Male",492,53,155,80,50,5,0,10,1,51,56,28,1,1,0,0,0,0,1,0
50,4,37,2,"Manang","Female",435,49,153,101,31,0,0,8,1,41,30,18,2,0,0,1,0,0,0,0
50,4,38,0,"Mustang","Total",3984,454,1361,763,354,35,28,125,25,336,292,174,6,6,0,1,0,1,0,23
50,4,38,1,"Mustang","Male",2203,250,706,444,210,28,15,53,10,190,164,111,4,2,0,0,0,0,0,16
50,4,38,2,"Mustang","Female",1781,204,655,319,144,7,13,72,15,146,128,63,2,4,0,1,0,1,0,7
50,4,39,0,"Myagdi","Total",29532,1850,11124,7148,2822,24,73,451,34,1582,2491,1725,37,44,0,23,7,3,0,94
50,4,39,1,"Myagdi","Male",15214,1027,5784,3529,1500,12,36,218,19,854,1236,878,22,24,0,14,6,3,0,52
50,4,39,2,"Myagdi","Female",14318,823,5340,3619,1322,12,37,233,15,728,1255,847,15,20,0,9,1,0,0,42
50,4,40,0,"Kaski","Total",141039,13929,50208,32556,15137,90,1196,2281,232,5850,9457,8713,69,281,37,88,40,31,5,839
50,4,40,1,"Kaski","Male",75315,7839,27305,17014,7973,42,634,1203,123,3372,5123,3979,20,151,15,43,16,14,4,445
50,4,40,2,"Kaski","Female",65724,6090,22903,15542,7164,48,562,1078,109,2478,4334,4734,49,130,22,45,24,17,1,394
