area,prov,dist,sex,area_name,sexname,rowtotal,ca_earlychildhood,ca_primary,ca_lowrsecndry,ca_upprsecndry,ca_others,ca_notstd,neverattnd,cna_earlychildhood,cna_primary,cna_lowrsecndry,cna_upprsecndry,cna_others,cna_notstd,ans_earlychildhood,ans_primary,ans_lowrsecndry,ans_upprsecndry,ans_others,ans_notstd
50,5,55,2,"Kapilbastu","Female",136243,9919,44092,20799,8540,169,400,15449,238,16553,11081,8251,375,178,3,25,2,2,0,167
50,5,56,0,"Dang","Total",220847,17717,73409,45482,22236,196,690,4064,235,14366,22796,18817,286,260,3,52,8,8,5,217
50,5,56,1,"Dang","Male",109672,9600,38525,22576,10797,88,339,1788,93,7230,11014,7264,109,102,1,33,4,3,2,104
50,5,56,2,"Dang","Female",111175,8117,34884,22906,11439,108,351,2276,142,7136,11782,11553,177,158,2,19,4,5,3,113
50,5,57,0,"Banke","Total",218792,17341,67332,34503,15650,706,810,30652,429,19690,16005,14336,631,396,1,52,7,11,4,236
50,5,57,1,"Banke","Male",110813,9683,35449,17865,8151,334,396,13410,216,9974,8427,6354,228,160,1,27,3,5,2,128
50,5,57,2,"Banke","Female",107979,7658,31883,16638,7499,372,414,17242,213,9716,7578,7982,403,236,0,25,4,6,2,108
50,5,58,0,"Bardiya","Total",149561,10345,47703,29172,12984,148,335,4953,146,10158,18092,14846,324,197,2,35,9,6,1,105
50,5,58,1,"Bardiya","Male",73163,5634,24873,14461,6098,64,175,2051,75,5113,8767,5595,104,80,1,16,4,2,0,50
50,5,58,2,"Bardiya","Female",76398,4711,22830,14711,6886,84,160,2902,71,5045,9325,9251,220,117,1,19,5,4,1,55
50,6,59,0,"Dolpa","Total",16395,818,5767,3043,1725,68,191,2040,24,1315,728,597,23,21,0,3,0,0,0,32
50,6,59,1,"Dolpa","Male",7930,437,2884,1484,882,34,86,787,7,565,400,323,13,8,0,2,0,0,0,18
50,6,59,2,"Dolpa","Female",8465,381,2883,1559,843,34,105,1253,17,750,328,274,10,13,0,1,0,0,0,14
50,6,60,0,"Mugu","Total",26527,1658,10494,5213,2448,66,105,2047,29,1168,1305,1894,31,39,0,8,0,0,0,22
50,6,60,1,"Mugu","Male",13071,902,5326,2611,1228,35,62,740,16,561,605,938,16,20,0,4,0,0,0,7
50,6,60,2,"Mugu","Female",13456,756,5168,2602,1220,31,43,1307,13,607,700,956,15,19,0,4,0,0,0,15
50,6,61,0,"Humla","Total",20826,1511,7973,4277,2180,71,59,2173,23,983,691,757,61,17,0,5,0,2,0,43
50,6,61,1,"Humla","Male",10175,816,3998,2090,1107,51,25,816,14,466,358,372,26,9,0,2,0,1,0,24
50,6,61,2,"Humla","Female",10651,695,3975,2187,1073,20,34,1357,9,517,333,385,35,8,0,3,0,1,0,19
50,6,62,0,"Jumla","Total",45202,3522,15547,9348,5342,42,226,3621,70,2510,2343,2213,73,74,0,12,0,1,3,255
50,6,62,1,"Jumla","Male",22065,1866,7818,4696,2713,14,95,1357,27,1122,1078,1083,25,40,0,6,0,1,2,122
50,6,62,2,"Jumla","Female",23137,1656,7729,4652,2629,28,131,2264,43,1388,1265,1130,48,34,0,6,0,0,1,133
50,6,63,0,"Kalikot","Total",57210,2505,22832,13752,7437,63,157,2379,35,1993,2413,3399,25,37,0,17,1,3,0,162
50,6,63,1,"Kalikot","Male",28245,1365,11567,6881,3663,20,87,932,11,932,1145,1526,11,17,0,7,1,1,0,79
50,6,63,2,"Kalikot","Female",28965,1140,11265,6871,3774,43,70,1447,24,1061,1268,1873,14,20,0,10,0,2,0,83
50,6,64,0,"Dailekh","Total",97966,3883,36216,22283,11018,105,336,3509,72,4975,7251,7893,123,90,1,35,3,0,0,173
50,6,64,1,"Dailekh","Male",47708,2100,18251,11036,5397,48,160,1478,28,2335,3439,3232,55,41,1,17,2,0,0,88
50,6,64,2,"Dailekh","Female",50258,1783,17965,11247,5621,57,176,2031,44,2640,3812,4661,68,49,0,18,1,0,0,85
50,6,65,0,"Jajarkot","Total",75637,3684,29615,17551,8672,45,215,2841,50,3133,4334,5161,88,68,2,17,0,5,0,156
50,6,65,1,"Jajarkot","Male",37412,1925,14896,8743,4270,21,106,1245,24,1584,2166,2277,35,29,0,9,0,0,0,82
50,6,65,2,"Jajarkot","Female",38225,1759,14719,8808,4402,24,109,1596,26,1549,2168,2884,53,39,2,8,0,5,0,74
