area,prov,dist,chldtype,chldsex,area_name,typename,chldsexname,total,a_15to19,b_20to24,c_25to29,d_30to34,e_35to39,f_40to44,g_45to49
33,0,0,3,0,"Tarai","Children Dead","Total",218050,1146,10612,22918,33206,47782,50438,51948
33,0,0,3,1,"Tarai","Children Dead","Male",125248,685,6277,13557,19294,27464,28562,29409
33,0,0,3,2,"Tarai","Children Dead","Female",92802,461,4335,9361,13912,20318,21876,22539
40,1,0,1,0,"Province-1","Children Ever Born","Total",1993420,17451,140909,289220,362099,421720,403569,358452
40,1,0,1,1,"Province-1","Children Ever Born","Male",1034547,9035,73067,149474,186805,218076,209892,188198
40,1,0,1,2,"Province-1","Children Ever Born","Female",958873,8416,67842,139746,175294,203644,193677,170254
40,1,0,2,0,"Province-1","Children Still Alive","Total",1937044,17119,138357,284057,354245,410174,389982,343110
40,1,0,2,1,"Province-1","Children Still Alive","Male",1000870,8827,71498,146318,182085,211181,201937,179024
40,1,0,2,2,"Province-1","Children Still Alive","Female",936174,8292,66859,137739,172160,198993,188045,164086
40,1,0,3,0,"Province-1","Children Dead","Total",56376,332,2552,5163,7854,11546,13587,15342
40,1,0,3,1,"Province-1","Children Dead","Male",33677,208,1569,3156,4720,6895,7955,9174
40,1,0,3,2,"Province-1","Children Dead","Female",22699,124,983,2007,3134,4651,5632,6168
40,2,0,1,0,"Madhesh","Children Ever Born","Total",3058526,29151,294306,521669,586523,672040,512928,441909
40,2,0,1,1,"Madhesh","Children Ever Born","Male",1640800,15462,155947,277430,310456,357228,278802,245475
40,2,0,1,2,"Madhesh","Children Ever Born","Female",1417726,13689,138359,244239,276067,314812,234126,196434
40,2,0,2,0,"Madhesh","Children Still Alive","Total",2978462,28565,289136,511587,573410,653933,496494,425337
40,2,0,2,1,"Madhesh","Children Still Alive","Male",1595454,15119,152924,271474,302848,346982,269700,236407
40,2,0,2,2,"Madhesh","Children Still Alive","Female",1383008,13446,136212,240113,270562,306951,226794,188930
40,2,0,3,0,"Madhesh","Children Dead","Total",80064,586,5170,10082,13113,18107,16434,16572
