area,prov,dist,sex,area_name,sexname,rowtotal,a_humnty,b_mgm,c_edu,d_science,e_medicine,f_enginring,g_law,h_agri,i_forstry,j_vetnry,k_computr,l_others,m_notstd
50,1,3,1,"Solukhumbu","Male",6587,559,1245,3840,235,113,96,39,56,25,21,64,148,146
50,1,3,2,"Solukhumbu","Female",5784,377,933,3670,161,248,28,17,73,19,10,19,84,145
50,1,4,0,"Okhaldhunga","Total",15839,1492,2423,9045,433,472,245,71,193,71,79,65,339,911
50,1,4,1,"Okhaldhunga","Male",8007,847,1269,4332,292,166,196,53,72,44,40,46,198,452
50,1,4,2,"Okhaldhunga","Female",7832,645,1154,4713,141,306,49,18,121,27,39,19,141,459
50,1,5,0,"Khotang","Total",16124,2324,2502,9446,300,317,179,110,124,57,25,58,142,540
50,1,5,1,"Khotang","Male",8285,1347,1421,4486,195,120,140,77,56,33,19,42,79,270
50,1,5,2,"Khotang","Female",7839,977,1081,4960,105,197,39,33,68,24,6,16,63,270
50,1,6,0,"Bhojpur","Total",12141,1610,2427,6592,262,279,161,51,102,36,25,40,88,468
50,1,6,1,"Bhojpur","Male",6329,986,1404,3084,183,99,141,39,49,20,16,28,51,229
50,1,6,2,"Bhojpur","Female",5812,624,1023,3508,79,180,20,12,53,16,9,12,37,239
50,1,7,0,"Dhankuta","Total",16315,1484,3842,8806,642,462,238,84,96,61,73,95,139,293
50,1,7,1,"Dhankuta","Male",8022,899,2049,3699,453,195,195,68,66,46,54,71,90,137
50,1,7,2,"Dhankuta","Female",8293,585,1793,5107,189,267,43,16,30,15,19,24,49,156
50,1,8,0,"Terhathum","Total",10099,911,2011,5988,250,192,85,43,82,25,25,15,90,382
50,1,8,1,"Terhathum","Male",5198,611,1127,2751,176,78,72,34,45,13,19,10,54,208
50,1,8,2,"Terhathum","Female",4901,300,884,3237,74,114,13,9,37,12,6,5,36,174
50,1,9,0,"Panchthar","Total",17747,2082,3702,9766,536,379,193,109,88,112,39,59,125,557
50,1,9,1,"Panchthar","Male",8760,1249,2163,4061,379,149,168,74,38,57,31,41,77,273
50,1,9,2,"Panchthar","Female",8987,833,1539,5705,157,230,25,35,50,55,8,18,48,284
50,1,10,0,"Ilam","Total",34566,7247,8425,13872,1441,617,406,270,141,86,97,266,435,1263
50,1,10,1,"Ilam","Male",17301,3999,4632,5711,934,204,326,199,77,49,73,193,280,624
50,1,10,2,"Ilam","Female",17265,3248,3793,8161,507,413,80,71,64,37,24,73,155,639
50,1,11,0,"Jhapa","Total",139880,21187,60494,33524,8357,4559,1984,917,434,410,222,1869,2341,3582
50,1,11,1,"Jhapa","Male",71343,11366,33191,12057,5343,1452,1691,698,246,248,175,1425,1595,1856
50,1,11,2,"Jhapa","Female",68537,9821,27303,21467,3014,3107,293,219,188,162,47,444,746,1726
50,1,12,0,"Morang","Total",157688,15870,65788,38520,14504,7648,4208,1253,659,479,294,1345,2827,4293
50,1,12,1,"Morang","Male",84535,8643,37246,15485,9476,3013,3659,939,374,294,233,1082,1758,2333
50,1,12,2,"Morang","Female",73153,7227,28542,23035,5028,4635,549,314,285,185,61,263,1069,1960
50,1,13,0,"Sunsari","Total",118156,13747,46501,31041,9653,5430,3421,792,378,358,224,885,2447,3279
50,1,13,1,"Sunsari","Male",61607,7465,25436,12366,6210,2045,2913,630,212,234,166,686,1511,1733
50,1,13,2,"Sunsari","Female",56549,6282,21065,18675,3443,3385,508,162,166,124,58,199,936,1546
50,1,14,0,"Udayapur","Total",33899,3425,8158,17446,1344,903,557,316,184,145,83,237,312,789
50,1,14,1,"Udayapur","Male",16677,1909,4686,7129,911,395,462,209,95,86,61,166,174,394
50,1,14,2,"Udayapur","Female",17222,1516,3472,10317,433,508,95,107,89,59,22,71,138,395
50,2,15,0,"Saptari","Total",71578,4802,15069,24441,8453,5099,4925,435,493,523,251,560,1824,4703
50,2,15,1,"Saptari","Male",45301,3264,9559,12340,6662,2984,4585,357,328,344,220,455,1209,2994
50,2,15,2,"Saptari","Female",26277,1538,5510,12101,1791,2115,340,78,165,179,31,105,615,1709
50,2,16,0,"Siraha","Total",64347,4852,15509,22330,6472,3514,3405,260,507,302,265,438,1282,5211
50,2,16,1,"Siraha","Male",40468,3285,9890,11661,4972,2083,3140,208,328,218,217,357,845,3264
50,2,16,2,"Siraha","Female",23879,1567,5619,10669,1500,1431,265,52,179,84,48,81,437,1947
50,2,17,0,"Dhanusa","Total",81512,5693,25672,22894,8882,5118,5045,368,409,528,216,521,1511,4655
50,2,17,1,"Dhanusa","Male",51506,3608,16280,11620,6609,3319,4684,284,322,349,185,423,930,2893
50,2,17,2,"Dhanusa","Female",30006,2085,9392,11274,2273,1799,361,84,87,179,31,98,581,1762
50,2,18,0,"Mahottari","Total",52688,3748,14247,18160,4213,3051,2740,225,319,294,200,428,1070,3993
50,2,18,1,"Mahottari","Male",33035,2466,9137,9333,3227,2020,2541,169,225,199,172,342,701,2503
50,2,18,2,"Mahottari","Female",19653,1282,5110,8827,986,1031,199,56,94,95,28,86,369,1490
50,2,19,0,"Sarlahi","Total",70708,4450,24396,24619,4626,3651,2101,309,387,436,194,564,1371,3604
50,2,19,1,"Sarlahi","Male",42681,2910,15010,12560,3440,2358,1918,242,283,256,159,452,917,2176
50,2,19,2,"Sarlahi","Female",28027,1540,9386,12059,1186,1293,183,67,104,180,35,112,454,1428
50,2,20,0,"Rautahat","Total",51315,4346,11959,20164,3464,3164,1653,227,311,334,194,507,1399,3593
50,2,20,1,"Rautahat","Male",32878,2926,7724,11304,2629,2240,1518,196,240,253,182,379,938,2349
50,2,20,2,"Rautahat","Female",18437,1420,4235,8860,835,924,135,31,71,81,12,128,461,1244
50,2,21,0,"Bara","Total",54591,4279,20782,17807,3493,1972,1410,262,363,426,113,343,1011,2330
